Reference,Qty,Description,Part Number,Manufacturer,Digikey,LCSC
U1,1,IC REG LINEAR 3.3V 300MA SOT23-5,MIC5504-3.3YM5,Microchip Technology,576-4764-1-ND,C3021093
U2,1,IC MCU 32BIT 32KB FLASH 32LQFP,STM32G431K6T6,STMicroelectronics,497-STM32G431K6T6-ND,C730097
U3,1,IC CODEC MONO AUD 16BIT 24TQFN,MAX9860ETG+T,Maxim Integrated,MAX9860ETG+TCT-ND,C516787
U4,1,IC REG LINEAR 1.8V 300MA SOT23-5,MIC5504-1.8YM5,Microchip Technology,576-4879-1-ND,C626116
"C1, C2, C3, C12, C20",5,CAP CER 10uF 0603,CAP CER 10uF 0603,ANY,311-1448-1-ND,C19702
"C4, C5, C6, C7, C13",5,CAP CER 100nF 0603,CAP CER 100nF 0603,ANY,311-1088-1-ND,C30926
"C8, C9, C10, C11, C14, C15, C16, C17, C18, C19",10,CAP CER 1uF 0603,CAP CER 1uF 0603,ANY,311-1446-1-ND,C15849
"R1, R2, R4, R5",4,RES SMD 1.5K OHM 1% 1/10W 0603,RES SMD 1.5K OHM 1% 1/10W 0603,ANY,118-CR0603-FX-1501ELFCT-ND,C114668
R3,1,RES SMD 150 OHM 1% 1/10W 0603,RES SMD 150 OHM 1% 1/10W 0603,ANY,118-CR0603-FX-1500ELFCT-ND,C114608
D1,1,LED 2V 20MA 0603,LED 2V 20MA 0603,ANY,3147-B1911PG--20D000514U1930CT-ND,C5123548
J3,1,CONN JACK TRRS 3.5MM,54-00298,Tensility International Corp,839-54-00298CT-ND,C707261
SW1,1,SWITCH TACTILE SPST-NO MOM,EVQ-P7J01P,Panasonic Electronic Components,P16767CT-ND,C2828254
